ID_Pedido,Data,Produto,Categoria,Quantidade,Preco_Unitario,Regiao,Vendedor,Total_Venda,data_venda,valor_total,ano,mes,mes_nome,dia_semana,trimestre
1886,2025-01-14,Smartphone,Eletrônicos,3,1500.0,Leste,Eduardo,4500.0,2025-01-14,4500.0,2025,1,January,Tuesday,1
1892,2025-01-14,Laptop,Informática,2,3500.0,Centro-Oeste,Bruno,7000.0,2025-01-14,7000.0,2025,1,January,Tuesday,1
1135,2025-01-15,Monitor,Informática,4,800.0,Centro-Oeste,Carlos,3200.0,2025-01-15,3200.0,2025,1,January,Wednesday,1
1093,2025-01-15,Laptop,Informática,3,3500.0,Sul,Daniela,10500.0,2025-01-15,10500.0,2025,1,January,Wednesday,1
1904,2025-01-15,Headset,Acessórios,3,250.0,Centro-Oeste,Ana,750.0,2025-01-15,750.0,2025,1,January,Wednesday,1
1498,2025-01-16,Laptop,Informática,4,3500.0,Norte,Ana,14000.0,2025-01-16,14000.0,2025,1,January,Thursday,1
1330,2025-01-17,Smartphone,Eletrônicos,4,1500.0,Norte,Eduardo,6000.0,2025-01-17,6000.0,2025,1,January,Friday,1
1353,2025-01-18,Tablet,Eletrônicos,3,1200.0,Sul,Carlos,3600.0,2025-01-18,3600.0,2025,1,January,Saturday,1
1567,2025-01-19,Teclado,Acessórios,2,150.0,Norte,Eduardo,300.0,2025-01-19,300.0,2025,1,January,Sunday,1
1637,2025-01-19,Smartphone,Eletrônicos,2,1500.0,Oeste,Carlos,3000.0,2025-01-19,3000.0,2025,1,January,Sunday,1
1384,2025-01-20,Laptop,Informática,1,3500.0,Norte,Daniela,3500.0,2025-01-20,3500.0,2025,1,January,Monday,1
1672,2025-01-20,Laptop,Informática,4,3500.0,Norte,Eduardo,14000.0,2025-01-20,14000.0,2025,1,January,Monday,1
1988,2025-01-20,Teclado,Acessórios,3,150.0,Centro-Oeste,Carlos,450.0,2025-01-20,450.0,2025,1,January,Monday,1
1045,2025-01-21,Teclado,Acessórios,3,150.0,Oeste,Ana,450.0,2025-01-21,450.0,2025,1,January,Tuesday,1
1007,2025-01-21,Teclado,Acessórios,4,150.0,Centro-Oeste,Carlos,600.0,2025-01-21,600.0,2025,1,January,Tuesday,1
1847,2025-01-22,Headset,Acessórios,3,250.0,Centro-Oeste,Eduardo,750.0,2025-01-22,750.0,2025,1,January,Wednesday,1
1308,2025-01-22,Monitor,Informática,2,800.0,Sul,Bruno,1600.0,2025-01-22,1600.0,2025,1,January,Wednesday,1
1026,2025-01-22,Mouse,Acessórios,4,80.0,Leste,Daniela,320.0,2025-01-22,320.0,2025,1,January,Wednesday,1
1748,2025-01-23,Smartphone,Eletrônicos,1,1500.0,Centro-Oeste,Ana,1500.0,2025-01-23,1500.0,2025,1,January,Thursday,1
1483,2025-01-23,Laptop,Informática,3,3500.0,Leste,Carlos,10500.0,2025-01-23,10500.0,2025,1,January,Thursday,1
1581,2025-01-25,Laptop,Informática,2,3500.0,Norte,Carlos,7000.0,2025-01-25,7000.0,2025,1,January,Saturday,1
1919,2025-01-25,Smartphone,Eletrônicos,4,1500.0,Leste,Eduardo,6000.0,2025-01-25,6000.0,2025,1,January,Saturday,1
1915,2025-01-25,Mouse,Acessórios,1,80.0,Oeste,Ana,80.0,2025-01-25,80.0,2025,1,January,Saturday,1
1978,2025-01-26,Monitor,Informática,4,800.0,Oeste,Ana,3200.0,2025-01-26,3200.0,2025,1,January,Sunday,1
1873,2025-01-26,Mouse,Acessórios,1,80.0,Leste,Ana,80.0,2025-01-26,80.0,2025,1,January,Sunday,1
1376,2025-01-26,Mouse,Acessórios,2,80.0,Oeste,Daniela,160.0,2025-01-26,160.0,2025,1,January,Sunday,1
1317,2025-01-27,Smartphone,Eletrônicos,2,1500.0,Sul,Daniela,3000.0,2025-01-27,3000.0,2025,1,January,Monday,1
1110,2025-01-28,Tablet,Eletrônicos,2,1200.0,Centro-Oeste,Carlos,2400.0,2025-01-28,2400.0,2025,1,January,Tuesday,1
1165,2025-01-28,Smartphone,Eletrônicos,3,1500.0,Oeste,Daniela,4500.0,2025-01-28,4500.0,2025,1,January,Tuesday,1
1907,2025-01-28,Teclado,Acessórios,4,150.0,Norte,Carlos,600.0,2025-01-28,600.0,2025,1,January,Tuesday,1
1697,2025-01-28,Teclado,Acessórios,4,150.0,Centro-Oeste,Bruno,600.0,2025-01-28,600.0,2025,1,January,Tuesday,1
1887,2025-01-28,Mouse,Acessórios,1,80.0,Centro-Oeste,Eduardo,80.0,2025-01-28,80.0,2025,1,January,Tuesday,1
1150,2025-01-29,Tablet,Eletrônicos,3,1200.0,Leste,Bruno,3600.0,2025-01-29,3600.0,2025,1,January,Wednesday,1
1615,2025-01-29,Headset,Acessórios,2,250.0,Leste,Eduardo,500.0,2025-01-29,500.0,2025,1,January,Wednesday,1
1802,2025-01-30,Mouse,Acessórios,2,80.0,Oeste,Carlos,160.0,2025-01-30,160.0,2025,1,January,Thursday,1
1960,2025-01-31,Monitor,Informática,2,800.0,Norte,Daniela,1600.0,2025-01-31,1600.0,2025,1,January,Friday,1
1115,2025-02-02,Mouse,Acessórios,1,80.0,Norte,Daniela,80.0,2025-02-02,80.0,2025,2,February,Sunday,1
1508,2025-02-02,Laptop,Informática,2,3500.0,Norte,Eduardo,7000.0,2025-02-02,7000.0,2025,2,February,Sunday,1
1306,2025-02-02,Mouse,Acessórios,1,80.0,Norte,Carlos,80.0,2025-02-02,80.0,2025,2,February,Sunday,1
1815,2025-02-03,Tablet,Eletrônicos,2,1200.0,Sul,Bruno,2400.0,2025-02-03,2400.0,2025,2,February,Monday,1
1855,2025-02-03,Monitor,Informática,1,800.0,Leste,Bruno,800.0,2025-02-03,800.0,2025,2,February,Monday,1
1762,2025-02-03,Tablet,Eletrônicos,2,1200.0,Norte,Bruno,2400.0,2025-02-03,2400.0,2025,2,February,Monday,1
1928,2025-02-03,Monitor,Informática,4,800.0,Centro-Oeste,Carlos,3200.0,2025-02-03,3200.0,2025,2,February,Monday,1
1124,2025-02-04,Teclado,Acessórios,2,150.0,Leste,Ana,300.0,2025-02-04,300.0,2025,2,February,Tuesday,1
1524,2025-02-04,Monitor,Informática,4,800.0,Oeste,Eduardo,3200.0,2025-02-04,3200.0,2025,2,February,Tuesday,1
1059,2025-02-04,Laptop,Informática,4,3500.0,Sul,Carlos,14000.0,2025-02-04,14000.0,2025,2,February,Tuesday,1
1327,2025-02-04,Teclado,Acessórios,3,150.0,Norte,Eduardo,450.0,2025-02-04,450.0,2025,2,February,Tuesday,1
1709,2025-02-04,Teclado,Acessórios,2,150.0,Sul,Bruno,300.0,2025-02-04,300.0,2025,2,February,Tuesday,1
1963,2025-02-05,Teclado,Acessórios,4,150.0,Sul,Daniela,600.0,2025-02-05,600.0,2025,2,February,Wednesday,1
1382,2025-02-05,Tablet,Eletrônicos,4,1200.0,Oeste,Eduardo,4800.0,2025-02-05,4800.0,2025,2,February,Wednesday,1
1151,2025-02-05,Mouse,Acessórios,2,80.0,Norte,Eduardo,160.0,2025-02-05,160.0,2025,2,February,Wednesday,1
1546,2025-02-05,Laptop,Informática,4,3500.0,Leste,Ana,14000.0,2025-02-05,14000.0,2025,2,February,Wednesday,1
1338,2025-02-06,Monitor,Informática,4,800.0,Norte,Bruno,3200.0,2025-02-06,3200.0,2025,2,February,Thursday,1
1552,2025-02-06,Smartphone,Eletrônicos,4,1500.0,Centro-Oeste,Carlos,6000.0,2025-02-06,6000.0,2025,2,February,Thursday,1
1268,2025-02-06,Teclado,Acessórios,1,150.0,Sul,Eduardo,150.0,2025-02-06,150.0,2025,2,February,Thursday,1
1311,2025-02-07,Headset,Acessórios,4,250.0,Centro-Oeste,Carlos,1000.0,2025-02-07,1000.0,2025,2,February,Friday,1
1996,2025-02-07,Mouse,Acessórios,4,80.0,Norte,Bruno,320.0,2025-02-07,320.0,2025,2,February,Friday,1
1250,2025-02-08,Monitor,Informática,2,800.0,Leste,Daniela,1600.0,2025-02-08,1600.0,2025,2,February,Saturday,1
1909,2025-02-08,Tablet,Eletrônicos,2,1200.0,Oeste,Carlos,2400.0,2025-02-08,2400.0,2025,2,February,Saturday,1
1477,2025-02-08,Headset,Acessórios,3,250.0,Sul,Eduardo,750.0,2025-02-08,750.0,2025,2,February,Saturday,1
1373,2025-02-08,Monitor,Informática,3,800.0,Oeste,Eduardo,2400.0,2025-02-08,2400.0,2025,2,February,Saturday,1
1638,2025-02-08,Monitor,Informática,3,800.0,Sul,Carlos,2400.0,2025-02-08,2400.0,2025,2,February,Saturday,1
1766,2025-02-08,Mouse,Acessórios,1,80.0,Oeste,Carlos,80.0,2025-02-08,80.0,2025,2,February,Saturday,1
1586,2025-02-08,Mouse,Acessórios,2,80.0,Leste,Ana,160.0,2025-02-08,160.0,2025,2,February,Saturday,1
1961,2025-02-09,Headset,Acessórios,3,250.0,Leste,Carlos,750.0,2025-02-09,750.0,2025,2,February,Sunday,1
1091,2025-02-10,Headset,Acessórios,2,250.0,Leste,Eduardo,500.0,2025-02-10,500.0,2025,2,February,Monday,1
1109,2025-02-10,Teclado,Acessórios,3,150.0,Centro-Oeste,Ana,450.0,2025-02-10,450.0,2025,2,February,Monday,1
1700,2025-02-10,Tablet,Eletrônicos,1,1200.0,Centro-Oeste,Carlos,1200.0,2025-02-10,1200.0,2025,2,February,Monday,1
1137,2025-02-11,Teclado,Acessórios,3,150.0,Norte,Daniela,450.0,2025-02-11,450.0,2025,2,February,Tuesday,1
1589,2025-02-11,Monitor,Informática,4,800.0,Centro-Oeste,Carlos,3200.0,2025-02-11,3200.0,2025,2,February,Tuesday,1
1933,2025-02-11,Tablet,Eletrônicos,1,1200.0,Oeste,Carlos,1200.0,2025-02-11,1200.0,2025,2,February,Tuesday,1
1821,2025-02-12,Monitor,Informática,3,800.0,Sul,Bruno,2400.0,2025-02-12,2400.0,2025,2,February,Wednesday,1
1516,2025-02-12,Monitor,Informática,4,800.0,Centro-Oeste,Eduardo,3200.0,2025-02-12,3200.0,2025,2,February,Wednesday,1
1167,2025-02-13,Headset,Acessórios,1,250.0,Norte,Eduardo,250.0,2025-02-13,250.0,2025,2,February,Thursday,1
1657,2025-02-13,Laptop,Informática,1,3500.0,Leste,Carlos,3500.0,2025-02-13,3500.0,2025,2,February,Thursday,1
1517,2025-02-13,Tablet,Eletrônicos,2,1200.0,Centro-Oeste,Daniela,2400.0,2025-02-13,2400.0,2025,2,February,Thursday,1
1071,2025-02-13,Mouse,Acessórios,1,80.0,Norte,Carlos,80.0,2025-02-13,80.0,2025,2,February,Thursday,1
1161,2025-02-14,Laptop,Informática,4,3500.0,Oeste,Carlos,14000.0,2025-02-14,14000.0,2025,2,February,Friday,1
1708,2025-02-15,Mouse,Acessórios,4,80.0,Oeste,Carlos,320.0,2025-02-15,320.0,2025,2,February,Saturday,1
1854,2025-02-15,Mouse,Acessórios,4,80.0,Leste,Carlos,320.0,2025-02-15,320.0,2025,2,February,Saturday,1
1334,2025-02-15,Tablet,Eletrônicos,4,1200.0,Sul,Carlos,4800.0,2025-02-15,4800.0,2025,2,February,Saturday,1
1862,2025-02-16,Monitor,Informática,4,800.0,Norte,Bruno,3200.0,2025-02-16,3200.0,2025,2,February,Sunday,1
1471,2025-02-16,Smartphone,Eletrônicos,1,1500.0,Norte,Ana,1500.0,2025-02-16,1500.0,2025,2,February,Sunday,1
1422,2025-02-16,Smartphone,Eletrônicos,3,1500.0,Leste,Daniela,4500.0,2025-02-16,4500.0,2025,2,February,Sunday,1
1991,2025-02-16,Tablet,Eletrônicos,2,1200.0,Centro-Oeste,Carlos,2400.0,2025-02-16,2400.0,2025,2,February,Sunday,1
1673,2025-02-16,Teclado,Acessórios,1,150.0,Centro-Oeste,Carlos,150.0,2025-02-16,150.0,2025,2,February,Sunday,1
1453,2025-02-17,Mouse,Acessórios,4,80.0,Sul,Ana,320.0,2025-02-17,320.0,2025,2,February,Monday,1
1870,2025-02-17,Tablet,Eletrônicos,2,1200.0,Norte,Eduardo,2400.0,2025-02-17,2400.0,2025,2,February,Monday,1
1116,2025-02-17,Laptop,Informática,4,3500.0,Oeste,Ana,14000.0,2025-02-17,14000.0,2025,2,February,Monday,1
1329,2025-02-18,Tablet,Eletrônicos,3,1200.0,Oeste,Daniela,3600.0,2025-02-18,3600.0,2025,2,February,Tuesday,1
1030,2025-02-18,Mouse,Acessórios,4,80.0,Centro-Oeste,Daniela,320.0,2025-02-18,320.0,2025,2,February,Tuesday,1
1062,2025-02-19,Smartphone,Eletrônicos,3,1500.0,Norte,Carlos,4500.0,2025-02-19,4500.0,2025,2,February,Wednesday,1
1395,2025-02-20,Tablet,Eletrônicos,3,1200.0,Leste,Eduardo,3600.0,2025-02-20,3600.0,2025,2,February,Thursday,1
1805,2025-02-20,Teclado,Acessórios,2,150.0,Oeste,Eduardo,300.0,2025-02-20,300.0,2025,2,February,Thursday,1
1841,2025-02-20,Tablet,Eletrônicos,4,1200.0,Leste,Eduardo,4800.0,2025-02-20,4800.0,2025,2,February,Thursday,1
1314,2025-02-20,Headset,Acessórios,4,250.0,Oeste,Bruno,1000.0,2025-02-20,1000.0,2025,2,February,Thursday,1
1037,2025-02-20,Smartphone,Eletrônicos,1,1500.0,Norte,Daniela,1500.0,2025-02-20,1500.0,2025,2,February,Thursday,1
1757,2025-02-20,Tablet,Eletrônicos,1,1200.0,Leste,Eduardo,1200.0,2025-02-20,1200.0,2025,2,February,Thursday,1
1198,2025-02-21,Mouse,Acessórios,4,80.0,Sul,Eduardo,320.0,2025-02-21,320.0,2025,2,February,Friday,1
1143,2025-02-21,Monitor,Informática,3,800.0,Centro-Oeste,Eduardo,2400.0,2025-02-21,2400.0,2025,2,February,Friday,1
1576,2025-02-21,Headset,Acessórios,2,250.0,Oeste,Ana,500.0,2025-02-21,500.0,2025,2,February,Friday,1
1749,2025-02-22,Laptop,Informática,4,3500.0,Sul,Ana,14000.0,2025-02-22,14000.0,2025,2,February,Saturday,1
1413,2025-02-22,Laptop,Informática,4,3500.0,Oeste,Daniela,14000.0,2025-02-22,14000.0,2025,2,February,Saturday,1
1216,2025-02-22,Laptop,Informática,3,3500.0,Oeste,Daniela,10500.0,2025-02-22,10500.0,2025,2,February,Saturday,1
1582,2025-02-22,Tablet,Eletrônicos,4,1200.0,Centro-Oeste,Daniela,4800.0,2025-02-22,4800.0,2025,2,February,Saturday,1
1817,2025-02-22,Mouse,Acessórios,3,80.0,Leste,Ana,240.0,2025-02-22,240.0,2025,2,February,Saturday,1
1086,2025-02-22,Headset,Acessórios,4,250.0,Sul,Bruno,1000.0,2025-02-22,1000.0,2025,2,February,Saturday,1
1055,2025-02-22,Teclado,Acessórios,2,150.0,Leste,Daniela,300.0,2025-02-22,300.0,2025,2,February,Saturday,1
1410,2025-02-23,Laptop,Informática,1,3500.0,Norte,Bruno,3500.0,2025-02-23,3500.0,2025,2,February,Sunday,1
1210,2025-02-23,Teclado,Acessórios,1,150.0,Oeste,Ana,150.0,2025-02-23,150.0,2025,2,February,Sunday,1
1774,2025-02-23,Laptop,Informática,3,3500.0,Sul,Daniela,10500.0,2025-02-23,10500.0,2025,2,February,Sunday,1
1679,2025-02-23,Headset,Acessórios,4,250.0,Leste,Ana,1000.0,2025-02-23,1000.0,2025,2,February,Sunday,1
1356,2025-02-23,Monitor,Informática,2,800.0,Sul,Eduardo,1600.0,2025-02-23,1600.0,2025,2,February,Sunday,1
1065,2025-02-23,Smartphone,Eletrônicos,1,1500.0,Sul,Carlos,1500.0,2025-02-23,1500.0,2025,2,February,Sunday,1
1278,2025-02-23,Teclado,Acessórios,4,150.0,Oeste,Daniela,600.0,2025-02-23,600.0,2025,2,February,Sunday,1
1039,2025-02-24,Monitor,Informática,2,800.0,Norte,Bruno,1600.0,2025-02-24,1600.0,2025,2,February,Monday,1
1884,2025-02-25,Teclado,Acessórios,3,150.0,Norte,Ana,450.0,2025-02-25,450.0,2025,2,February,Tuesday,1
1866,2025-02-25,Mouse,Acessórios,4,80.0,Oeste,Carlos,320.0,2025-02-25,320.0,2025,2,February,Tuesday,1
1585,2025-02-26,Smartphone,Eletrônicos,1,1500.0,Leste,Eduardo,1500.0,2025-02-26,1500.0,2025,2,February,Wednesday,1
1645,2025-02-27,Headset,Acessórios,3,250.0,Centro-Oeste,Carlos,750.0,2025-02-27,750.0,2025,2,February,Thursday,1
1357,2025-02-27,Teclado,Acessórios,1,150.0,Norte,Ana,150.0,2025-02-27,150.0,2025,2,February,Thursday,1
1403,2025-02-27,Smartphone,Eletrônicos,1,1500.0,Sul,Carlos,1500.0,2025-02-27,1500.0,2025,2,February,Thursday,1
1656,2025-02-27,Monitor,Informática,3,800.0,Norte,Ana,2400.0,2025-02-27,2400.0,2025,2,February,Thursday,1
1445,2025-02-27,Teclado,Acessórios,4,150.0,Leste,Eduardo,600.0,2025-02-27,600.0,2025,2,February,Thursday,1
1437,2025-02-27,Smartphone,Eletrônicos,3,1500.0,Centro-Oeste,Daniela,4500.0,2025-02-27,4500.0,2025,2,February,Thursday,1
1031,2025-02-28,Monitor,Informática,2,800.0,Leste,Daniela,1600.0,2025-02-28,1600.0,2025,2,February,Friday,1
1414,2025-03-01,Headset,Acessórios,2,250.0,Oeste,Bruno,500.0,2025-03-01,500.0,2025,3,March,Saturday,1
1263,2025-03-01,Headset,Acessórios,1,250.0,Norte,Bruno,250.0,2025-03-01,250.0,2025,3,March,Saturday,1
1871,2025-03-02,Laptop,Informática,4,3500.0,Oeste,Ana,14000.0,2025-03-02,14000.0,2025,3,March,Sunday,1
1839,2025-03-02,Tablet,Eletrônicos,1,1200.0,Centro-Oeste,Ana,1200.0,2025-03-02,1200.0,2025,3,March,Sunday,1
1162,2025-03-03,Teclado,Acessórios,4,150.0,Sul,Ana,600.0,2025-03-03,600.0,2025,3,March,Monday,1
1562,2025-03-03,Mouse,Acessórios,2,80.0,Oeste,Daniela,160.0,2025-03-03,160.0,2025,3,March,Monday,1
1974,2025-03-03,Mouse,Acessórios,2,80.0,Centro-Oeste,Bruno,160.0,2025-03-03,160.0,2025,3,March,Monday,1
1117,2025-03-03,Laptop,Informática,1,3500.0,Centro-Oeste,Eduardo,3500.0,2025-03-03,3500.0,2025,3,March,Monday,1
1102,2025-03-04,Tablet,Eletrônicos,2,1200.0,Centro-Oeste,Carlos,2400.0,2025-03-04,2400.0,2025,3,March,Tuesday,1
1398,2025-03-04,Smartphone,Eletrônicos,1,1500.0,Leste,Daniela,1500.0,2025-03-04,1500.0,2025,3,March,Tuesday,1
1732,2025-03-04,Teclado,Acessórios,4,150.0,Norte,Bruno,600.0,2025-03-04,600.0,2025,3,March,Tuesday,1
1139,2025-03-04,Tablet,Eletrônicos,1,1200.0,Sul,Eduardo,1200.0,2025-03-04,1200.0,2025,3,March,Tuesday,1
1513,2025-03-06,Laptop,Informática,4,3500.0,Centro-Oeste,Ana,14000.0,2025-03-06,14000.0,2025,3,March,Thursday,1
1095,2025-03-06,Headset,Acessórios,3,250.0,Sul,Ana,750.0,2025-03-06,750.0,2025,3,March,Thursday,1
1724,2025-03-06,Laptop,Informática,4,3500.0,Sul,Ana,14000.0,2025-03-06,14000.0,2025,3,March,Thursday,1
1159,2025-03-07,Tablet,Eletrônicos,2,1200.0,Norte,Daniela,2400.0,2025-03-07,2400.0,2025,3,March,Friday,1
1785,2025-03-07,Smartphone,Eletrônicos,2,1500.0,Norte,Daniela,3000.0,2025-03-07,3000.0,2025,3,March,Friday,1
1921,2025-03-08,Monitor,Informática,1,800.0,Leste,Ana,800.0,2025-03-08,800.0,2025,3,March,Saturday,1
1299,2025-03-09,Teclado,Acessórios,3,150.0,Sul,Carlos,450.0,2025-03-09,450.0,2025,3,March,Sunday,1
1920,2025-03-09,Mouse,Acessórios,1,80.0,Norte,Ana,80.0,2025-03-09,80.0,2025,3,March,Sunday,1
1470,2025-03-10,Monitor,Informática,2,800.0,Oeste,Eduardo,1600.0,2025-03-10,1600.0,2025,3,March,Monday,1
1579,2025-03-10,Headset,Acessórios,1,250.0,Norte,Carlos,250.0,2025-03-10,250.0,2025,3,March,Monday,1
1459,2025-03-10,Tablet,Eletrônicos,1,1200.0,Centro-Oeste,Carlos,1200.0,2025-03-10,1200.0,2025,3,March,Monday,1
1814,2025-03-10,Laptop,Informática,4,3500.0,Oeste,Eduardo,14000.0,2025-03-10,14000.0,2025,3,March,Monday,1
1628,2025-03-11,Mouse,Acessórios,1,80.0,Sul,Carlos,80.0,2025-03-11,80.0,2025,3,March,Tuesday,1
1947,2025-03-11,Headset,Acessórios,1,250.0,Centro-Oeste,Bruno,250.0,2025-03-11,250.0,2025,3,March,Tuesday,1
1765,2025-03-13,Laptop,Informática,4,3500.0,Oeste,Carlos,14000.0,2025-03-13,14000.0,2025,3,March,Thursday,1
1005,2025-03-13,Laptop,Informática,1,3500.0,Centro-Oeste,Daniela,3500.0,2025-03-13,3500.0,2025,3,March,Thursday,1
1859,2025-03-14,Monitor,Informática,3,800.0,Centro-Oeste,Daniela,2400.0,2025-03-14,2400.0,2025,3,March,Friday,1
1603,2025-03-15,Monitor,Informática,3,800.0,Norte,Daniela,2400.0,2025-03-15,2400.0,2025,3,March,Saturday,1
1282,2025-03-16,Laptop,Informática,3,3500.0,Oeste,Eduardo,10500.0,2025-03-16,10500.0,2025,3,March,Sunday,1
1786,2025-03-16,Mouse,Acessórios,3,80.0,Norte,Ana,240.0,2025-03-16,240.0,2025,3,March,Sunday,1
1536,2025-03-16,Mouse,Acessórios,3,80.0,Leste,Carlos,240.0,2025-03-16,240.0,2025,3,March,Sunday,1
1968,2025-03-16,Tablet,Eletrônicos,1,1200.0,Oeste,Carlos,1200.0,2025-03-16,1200.0,2025,3,March,Sunday,1
1601,2025-03-17,Headset,Acessórios,2,250.0,Oeste,Carlos,500.0,2025-03-17,500.0,2025,3,March,Monday,1
